opaque_id,input_bits,output_bits,train_rows,test_policy,observed_fraction,public_sha256
rb-14ca0c1f98006ecdb7c8bb7c,12,13,122,all-unobserved,0.03,670360fc55a3bf3a832d1495bcb176c1bc3ecad4b941aee19a3c2a97d1898fb6
rb-15689b706e2610c73d3e794b,16,17,6553,all-unobserved,0.10,7b3779824aa68db65449af4a105015ab19128ee81004a7e1a27b5a80ff9126cf
rb-15b7e9eb71ec4b6b30a45f8e,16,17,1966,all-unobserved,0.03,1d6eecbb878dcb5e52af91625e921f045f9aabd62a45b1681b9299521f771827
rb-1766c892615f21adb7d60f30,20,21,104857,all-unobserved,0.10,067ffbc2f616d1f39649d97878459eb822a7fd922c193bc952b5f009797c139f
rb-1779b898a18c8f1da3be594f,12,13,409,all-unobserved,0.10,d45b331999e3be0d3d3ac8d8c11268dc63cda129c397fd08d47cf30a4387d8c1
rb-1924b4b8ee06065726e812a9,12,13,122,all-unobserved,0.03,39fe9521309dd73c159d38d6ec3add364b9573ce0602402d8bbb0e71b5024040
rb-1a5b733d623782da0017e1e9,12,13,122,all-unobserved,0.03,6583c10ce8612162884cba2c9016401cd29478bcd495e9a2e70e03b369bc31cd
rb-1a99bb2a23f5cd3c954e1e23,20,21,104857,all-unobserved,0.10,b23796668690e9d74f9ddf95e6766b9b9cce3e2431bf002aee1def24dd72eba7
rb-1af2ce8f2e432428515d1ee4,20,21,31457,all-unobserved,0.03,6c19bd15618de92dc9745d504ceecf095636e8026e97653e0c1ea2ead9690eb8
rb-1b538d267fb991e836c57310,12,13,409,all-unobserved,0.10,cc8a72558871442ae1f572df42bba53b3bb8aa4bfe7f534115fa9ea1870c6f64
rb-1bc2093b0dd683197fa1c7d6,16,17,6553,all-unobserved,0.10,375041a958060e4cbffbb00498dc359bac5898e9337a0db06e1768800aefebd5
rb-1d2b7c326bf4d7aae1539543,20,21,31457,all-unobserved,0.03,d3fd3c695766b9a99054ea218edf4055b695e0e8d5f66700d3ec59a6fcc4c7b3
rb-1de90e7d72c95ddf2cd133dc,12,13,409,all-unobserved,0.10,dc9f2d4444107238b3bdcffb634cee5b70116a246f827a5b397f02f174b9ab2b
rb-1e3ec4fe767cf5226fc11dab,12,13,409,all-unobserved,0.10,f57bca67a756db15d53048e7786c66a7dcc2da6ad599508cfc957e3691b05d82
rb-2042e0caa560d9896607574a,12,13,409,all-unobserved,0.10,06ba6559f0152316264475bede781fdae54c2cb297fef8c8915d87fe70393b5a
rb-23c89a6cd4ba45e798554906,20,21,104857,all-unobserved,0.10,278bb528596e7443a27c043708289233ee91bd1fefb36f15e859b52f49538505
rb-248ca2bd6fb2f7b1aa8207c3,12,13,122,all-unobserved,0.03,953fe93fe04ee24b4c96aa10dc8dd2b8793d885d58d1811a9f6e3e11a85615a6
rb-24bbea5e3db7ab3e28efdb86,20,21,31457,all-unobserved,0.03,7c06ce483a777efa75226c79a1a61c1c162cedae44821342bb76ba0ad0b99c44
rb-25f398b37a055417dc70658c,12,13,122,all-unobserved,0.03,4bc0e2561384c6cb99efea3ba0ab79c1eb0557a7b4c2b6571a8246f88d20c5b7
rb-2722adec8ee89de1f5c7031d,20,21,31457,all-unobserved,0.03,c65ebaf9a1b361f8dadd8ac27a37acea3ea3134afff27a490f3db17b355acdfd
rb-27735c4093013a8e883f18c7,20,21,104857,all-unobserved,0.10,10d16a0f700a18e4d40f7a6f042d3a124dcfff5aa6f497131d10f33098d18631
rb-2b69459c6c580d992d8390d6,16,17,1966,all-unobserved,0.03,0f85e9020a93218fe0bd133ba6c05954a77ca51a2235b698d89ca6a84dd45011
rb-2c379dd8780237cd75d45116,20,21,31457,all-unobserved,0.03,34168f59274dc5cc841b2587e05c7bfdffadf92e7a23109616499e2ffbb2abc3
rb-2d07e7bc58d6be2d0a700776,20,21,104857,all-unobserved,0.10,bc047fa573d3e10acf9db5b9b957432fbdc8716204224680121e93080b15d929
rb-2dc59903e98cc8f52bbfe6a9,12,13,409,all-unobserved,0.10,45d3fb40ea4d6aa387465c1ecf2c4b2090343e0956941f920fef5c206fa85cc7
rb-2f75f8de4356c0bbaa183c7f,16,17,1966,all-unobserved,0.03,ad6f4cb760589f61890ee5505e3a520e316074d5456379e0c304bff065814059
rb-30a8038e047365edb4e04fcf,16,17,6553,all-unobserved,0.10,d636fa6e484dbc1e33aba7a527edccf2cbec5289f3d7770ecd664996b19bff0a
rb-3170fd0f1daa615f07901d79,16,17,6553,all-unobserved,0.10,1438eb151da30a48f934ed4273cc686e718f421f0fe2a5e13c62f9d054452d4c
rb-33c2d056652ee6d519e1d786,20,21,104857,all-unobserved,0.10,f93ad2fd84f7d19e1c23dbabcf986f30fe036ab881924bfe77f52c089b28c71e
rb-3476889ee42e473a00c9f904,20,21,31457,all-unobserved,0.03,fd46c599b9daffe5f980cc081301eca97efaa8c675b16e74642dcb83e0a5b374
rb-34d43726af1d8975f6013896,12,13,122,all-unobserved,0.03,cd23afc95c26adf43d1a24b72089b450c3611117b606296be38cf5b5d3ceb400
rb-36c3868d223c044d5460a097,20,21,104857,all-unobserved,0.10,8b7d6790f89d46be2aaca7a55ab31f35fc1aa499c7155d3cdf1e828f922c0e22
rb-3742b483d23d4d9ada24d7a9,16,17,1966,all-unobserved,0.03,c09d5ab5eb4645b5c96e292378bd51bf20187d8bdec7a263ac5c84dde74cfadf
rb-3ad2e57491a27f922575c669,20,21,31457,all-unobserved,0.03,cc78af73e11f954df42b517fcfc1de6eafcf8d7298043cf0782f66b556560351
rb-3c7396616b7689836c09a80f,20,21,104857,all-unobserved,0.10,02020e9712c0a313c323fd96631d9d6c6fc8d95a3e4fcd624d647deed26a7404
rb-4074bf1a6c5bf8107c00bde0,12,13,122,all-unobserved,0.03,8b09b3ebe3ddebbf39bdd04d4ae3b54f4baf10811da6859d3939d1fc95a6fe8a
rb-42d3a6d0a70e02331aa445f7,12,13,122,all-unobserved,0.03,49a9f869114f96b1049895f1c6eb3a5b8e3f605dfefaedd55568ea7c89aeee89
rb-45b7b05830698df48bf432e0,12,13,122,all-unobserved,0.03,ff03289000025fd2ca64733db63718b3161a0bef288f74c37254d9fb51475535
rb-46e0fa82d6bdb1693a50bab0,16,17,1966,all-unobserved,0.03,bb52f10ce8de0f4b6a642f5fce4926362cab89f6bc79de0ff09c7d36aafa1a46
rb-47ee837174000d4b6cf73ddd,16,17,1966,all-unobserved,0.03,b5a4ce85464911fa43150c14d8e0a252df424f8146df82b75db01dfa2a359a51
rb-4a2b81bf891680da65698507,12,13,122,all-unobserved,0.03,9f747a39678f84cc15ab9a3a38f0143d5144667fbbc8b4a25c48ce81658c80b4
rb-4db9763f09ec3ff5ca13ec5f,12,13,409,all-unobserved,0.10,84730d446d5de562c5526bccc9c890c766f234d1673203c88d5002db71387389
rb-4e3b0d8c8a422a7bdbcc047f,20,21,104857,all-unobserved,0.10,ebe74375166a4acbe46ffd0ba8d591f49a8c774ff506e79c8f44d5a2b5938cc9
rb-4e45e6c48e13bd99b0c038c4,20,21,104857,all-unobserved,0.10,8cd9c24083b8d9f9631ae6ffc83952b3eb2dabf5601fd6744994fe06556e00af
rb-52160a71cc3e8c940a761f0e,12,13,409,all-unobserved,0.10,435e3f8be426ede73b49c85358f0f3df4698c39f31eec33105d45e6c93ab1489
rb-52b83d4c96f175c6680aedd4,12,13,409,all-unobserved,0.10,5a84451df6083d85dacdcb905215a087f27b91aa7506023548c9d53f194943ff
rb-52d6b7787fe1330c4c06df59,16,17,1966,all-unobserved,0.03,d07ad669ea7fed9e041a3f070918af23495bd07db15e4acf89841b1df8f5d03f
rb-5479856cca5a461b720d76ff,20,21,104857,all-unobserved,0.10,eb34b9db5777794640964cd85ec2fdce349ad3b1dd6eb365f442d1dd61b7ed52
rb-5524a87922df9afd8e74522f,20,21,31457,all-unobserved,0.03,46ed54db1f48caba78894bbb27aff2e5244bf049fbb16c4c20f9b23305dca703
rb-55aa0b76edfee8d3c3faf8ce,20,21,104857,all-unobserved,0.10,cf9c57d1a9c87c831720706d9b55d70abfdefa349d994820ffd85e8463e84043
rb-562fba2fff524fd52841cd17,20,21,104857,all-unobserved,0.10,d06c46046668626826f9ae45960de63c5828b3fa88417a2dd2f46fea72621d56
rb-56df09f62aa720e2ab777720,16,17,1966,all-unobserved,0.03,e0e8187a7381b6e46e61e14645a26055f3a7ff1c0a8e861319e07c419c460204
rb-583618e0174afc8ead26f601,12,13,409,all-unobserved,0.10,43537a498cfd07449aa5fe3bb15ee4425955419b5edb8685571de4b23e180c41
rb-58d356300a851194131dfb48,20,21,104857,all-unobserved,0.10,f676d0e6491873a75288b97c71b577eef43c8dcf12c168a7157dc3822ef1fa88
rb-598e6b46f5efe8412ed82ae3,20,21,104857,all-unobserved,0.10,f493f6e2b775b126320699970ae24c1fe3474d47c4e5e0463cfb15e9d8d6be05
rb-5cb628f7f2e05c9f49b5c0fd,12,13,122,all-unobserved,0.03,0ee60ac6f237477f1947b145fde2d2d2f3a4a54a9c48aeba4cf21355ac237755
rb-5e4326eb465919cf2ce0a6dd,16,17,6553,all-unobserved,0.10,cfe0b86edb98714bf76a057617c7fc9547a0de298e2ca92902ee28e9473c924a
rb-61d85cef20ccb754e82eadd7,12,13,409,all-unobserved,0.10,57104e21644216af50f336cc136dc107b997d644e1ebf3c1ee45bc6b89fb1f82
rb-621fe8e8cfa270341b47651f,16,17,1966,all-unobserved,0.03,abce6f1669b3666aeaa5161ee110639ba88a7d3de45f0613a1444dca4456328b
rb-628af795b3fc21b4d2388e8b,16,17,6553,all-unobserved,0.10,9023618e69fb57d24ede62a3d89a9fe4b7f53901d06bf698860aa0be8deb6947
rb-65bdd00efbfd2428f2bd5865,20,21,31457,all-unobserved,0.03,7720fd3bdf8d6bf738cd5876860ceb49f52bece4af574c2dacc22486b40d10b7
rb-6602b70b59671b84247eed51,20,21,104857,all-unobserved,0.10,8ff04c418cbcfd59207a5ea0e38b71747fa824ee25c3d290d1e5fc974f760984
rb-6607ba3c69d513dfe4362efe,16,17,1966,all-unobserved,0.03,8b1b26c02aea0e258b9e29c6852e4d820a06b2197fac08f397272d0b093ba6d3
rb-661eb632c04cd1b29106c0dc,12,13,122,all-unobserved,0.03,c5ec7ab568c8a4057f1e0bd386cf59cf80b9be30b1a6f6edb0a77c50721fa040
rb-66fa68e03e01d10b110a0de5,16,17,6553,all-unobserved,0.10,562524303b1dd7f20f288a3a4262ac9fad6adc8b125fb959c70c639b7ee4b3d8
rb-675a716ff820e084498fab70,12,13,122,all-unobserved,0.03,7e967c13ebbd84426b482c6a164b86ffdef69eae39863f463905fce7b71180ad
rb-6a9a36eaf506f9948fc95bbc,16,17,1966,all-unobserved,0.03,8c80f11abb491adcb0792cbbc5dd836c080da03e6d98d19b87f2734fcd6e02b5
rb-6e7f9ffa039b1c0f6b1acdda,20,21,31457,all-unobserved,0.03,f1c32f870c3503058fa253fd9702167273f333f757f840542ef09bbfa64c67a0
rb-6ecda868565d52a951bad25c,12,13,409,all-unobserved,0.10,51f32fbc36a657f2eecedc6975cbd339ea0672962e09fe851a691636bb38cd98
rb-6f29cabf65f90a2d137ce986,16,17,1966,all-unobserved,0.03,f17b9df82383f26455df0a5c228bc62ae8937e293c5e5178c593c3c8d0a196ff
rb-6f3b43783b7a144255e1f8d5,20,21,31457,all-unobserved,0.03,4f93d7080ddb207869a94319f838e895fa0cc8db154a9fac9cb15b8a797b7302
rb-7894fe3fdf2a2b7daa4bef7f,12,13,122,all-unobserved,0.03,cdce1cdc3d0f90429759ed5f7a2458087cee318201606280acad8822c9ebc186
rb-78ed6131382d2bb2ebc4e552,12,13,122,all-unobserved,0.03,221b5bc4ae8e1625781bf2fce5373704a8a51d444d9168fed80839260b7f225d
rb-7b20e093386ead279234826e,12,13,122,all-unobserved,0.03,c11a75affe75d7c1d92f7f153e2bb77da2d42647062812d08245488dd3268387
rb-7b61265f007869b3fc1387cd,20,21,104857,all-unobserved,0.10,189cb6553d98cfaa8bf536055f192994c770da6ac4aa061c13e3c80784020dd4
rb-7df86fd8f779728c541b4b2f,20,21,31457,all-unobserved,0.03,53d00c3d23be221ef67adff9e4727682f31fda107f485556b085b59895d0a908
rb-7ef60b6d1de090e29a409de7,16,17,1966,all-unobserved,0.03,9992434f11ac28d4838ada56e61a8e7dad2bc0b21a159d63e2895d8f40bac32e
rb-7f7ea33dfa1108619e4e7eea,16,17,1966,all-unobserved,0.03,c604d42bc486af6a87e9aec11f8e267cdd11209c73175af54dd2a2b57f15d760
rb-8046fd9e24ea5cb6ad0427a6,20,21,31457,all-unobserved,0.03,709ce294c9415547687256de3440bf6070741639b065bae906bae302679b0aea
rb-811a2d6b1d4e6ba4f09f9347,20,21,104857,all-unobserved,0.10,fb2bfd679005e305a67cfb0b5027dcdcae4bd7a8474d970355347fa50a3bbf1e
rb-83a7ea816bd240f2cd993874,20,21,31457,all-unobserved,0.03,945225b3953984530a3b68f988e84791cba467d307d76ebf4c1176950b437a9a
rb-8640a1dede006bf22e00f63c,20,21,31457,all-unobserved,0.03,691180e054d88d9ea4fcdafb9b5011cfab5a7c0ec8f5e5057dc7ea47b5d5a12c
rb-8b6fd5bfbc1fae3175ab316f,20,21,104857,all-unobserved,0.10,be7feec377ffe311e47d24b93dc1cbb0c589bdf571924e46a459b26e6d572f5a
rb-8beeeca237df5abe7e5d2b4e,20,21,31457,all-unobserved,0.03,a8f4be844359e5cfd77a47c1024d501cd1bc585af635e7c690881d34b3fad1c7
rb-8c1b57b291089e7a1a1d8854,12,13,409,all-unobserved,0.10,66e111df1b249675dafcfeee374361c494eb49c38a93fcc1274dce14c2c3d990
rb-8e8a73f70213c7198dcefe1b,12,13,409,all-unobserved,0.10,3ff3fc5296524e40a48d40ed1ac78bc1de4ac300336b01901251b050904f57b7
rb-90a14e0afc933c254d5a5438,20,21,31457,all-unobserved,0.03,f32e12f91304824f1dddacbf3f7899f708b3b70a8d1d9260ec84a6f5cac90c33
rb-918b04409c7d09442011744a,20,21,31457,all-unobserved,0.03,d24bf06173e59fe9676b76623a01ce7305eb000c0fc0aad6acb0d714edd94a51
rb-92a2673de1ae079f4b6c56da,16,17,6553,all-unobserved,0.10,b4c4447741e42176de22e621f9780af6d591475069db3135d033479debc5e484
rb-93219fa8b49bcdf42ddbae42,16,17,1966,all-unobserved,0.03,2a91eb362d0f11b054463e171c430ffd267229d058750a734f41de55772f78cf
rb-961279f465ac6862c5e95e8c,16,17,1966,all-unobserved,0.03,6ddc44563ce25744a2987c145eea4fc4ef533dd65e99e0c12066ea3c74ce2286
rb-99d5758dc45e9f46bb7c7152,12,13,122,all-unobserved,0.03,891e8205ccd4df9b67aa4aa3008d3bd04059e7afb4e267abfa5b226b34a65ee7
rb-9ae437aa12ac5558e0bf5909,20,21,31457,all-unobserved,0.03,90e935b1f9f27f1e5922878ba0abb7da8c2cbffadae10a4feddfa80b8cc88531
rb-9d41f09b554b2a0a7e9afe73,16,17,6553,all-unobserved,0.10,e6d863710a6a6b924ff7b4067394d92195a42210f8f567cd363833c1bea76c8e
rb-9d9cf6aedc13f3c3f3985ec2,12,13,122,all-unobserved,0.03,0a1e2c313646c0c18c37016789e3ccd71efe20534f046d741ba22e0c9e286a4c
rb-9dda24d8dae6ff01eb05b133,16,17,6553,all-unobserved,0.10,eb41961d82222e154cdc5a07bd9f2f26b90ed21e57959fe798a14e5fe9524a1d
rb-9fa091cc69eecd074f9a3265,20,21,31457,all-unobserved,0.03,e28886d1f12b903d794bdfbff5ee8333b27177c08236000786e393387b52edfc
rb-a08ee6d5800fc34f3a173642,12,13,122,all-unobserved,0.03,e98bc906672d59d3bbe4ce2a1cff1aea521c3dad41c0be4dcc1a4ec70eda6889
rb-a292b061754b9ec399fee204,20,21,104857,all-unobserved,0.10,a4458201d65219adc6e717f1504b3ead3aaa25122803ecb39cbc88bd827b03c6
rb-a3d3d46718a11e74a923eaf7,12,13,122,all-unobserved,0.03,37121000f612aaad13e910802f29f88f2d1321caca56bba119fdfb007be23925
rb-a3d8dde0f98f0fba2c4c37f9,20,21,31457,all-unobserved,0.03,0bbcb93f8cb703bcda37ec3dc3532fcb429b6f0654c75e9fbbccf9b7754d4482
rb-a665365aad9e616e523ad50d,12,13,122,all-unobserved,0.03,ebbd4052acd2307a3e5d2b36fbe3ad990ccff30bf0abd3e17d6cbd2b1fa9c7d3
rb-a699d32d613a158375760c0e,16,17,6553,all-unobserved,0.10,2dbdf2b76e5bcbfd255498b7f49d58363a2084beba62d730ef5b2e272e9f663f
rb-a79056f9b76778c7a6805ade,12,13,122,all-unobserved,0.03,001960115005d8e33eb25f07d3aa3bb42bc23ac3be0245735d633ea7f1b59799
rb-aa620d73b4f08378aa2ec72d,16,17,6553,all-unobserved,0.10,cfb148d8fd10d399f83277671e69c9ed5a162eb15e75a30993cb39e2b04a8bd3
rb-aab3b4b0e2f395bca14eb96c,12,13,409,all-unobserved,0.10,1f46e9cf122b2b41487d7ae344d00a1d5d3fff7c6457dc53e2b7b9a3fb67309c
rb-ad58f4d1e7f793cce4deddb4,16,17,6553,all-unobserved,0.10,5e8feedfe96120b3f26548db960d431607cd39d4bb57f1f33c4dbdf4fda48e00
rb-ad6a37ad2304f38106ce3b34,20,21,104857,all-unobserved,0.10,ad796755a557668bd2711560311af7711b4c387066812c291bb3537de29999c8
rb-ae80aefc8c7f412e271e4ede,16,17,6553,all-unobserved,0.10,80fc6dad17da9f7e81b1895e112d2c8ca63d8862f35ce0ef707b8264bdeb844f
rb-af8442befaa768babc458efa,16,17,1966,all-unobserved,0.03,319b7752683030810b62e05f8e9bc55f8afba91bc2a761762687b2c370ff2a64
rb-b28a8b00fa5d0909ab8309a3,16,17,6553,all-unobserved,0.10,1d6a043556d932c6c6603788a50a5257710a27875656ca8127c48705aae46ff3
rb-b385a9a870f34a5f88bff2f0,16,17,6553,all-unobserved,0.10,515929f66cd9aef2a7121d5fa74fa5427caa0ac73cd94635decd8d11665e937c
rb-b42893f80eeb79e4831e318a,16,17,6553,all-unobserved,0.10,1afaa80b336d4232b1dbc39b791c060f617eb480bc3d61fa6a8aab73a3c1ad58
rb-b44fea7174f38ae31ba766ce,20,21,104857,all-unobserved,0.10,5fac147681a31feb548c7910b4aa6c9583ae3fe31964746bb4276b3175ddd281
rb-b495f9e5e167dc77115fc6af,16,17,1966,all-unobserved,0.03,f480f932e84d92b58bb515080e5514a62a14b9eaf2444ec459af1c59c57a60a8
rb-b499fd407e703b79afa93969,20,21,31457,all-unobserved,0.03,7863551a1f50d963b17025aadbcf3aa282fe89b138c41a92169984618f657024
rb-b777e71acd36609444247412,12,13,122,all-unobserved,0.03,41033177fbe2322a900db1f482615e5f830f67568d53294f326337ed90b9827e
rb-b78b8bc49c1e422bc4a37d23,16,17,6553,all-unobserved,0.10,db7f4f76cf1c45123d6f74ce97128b670813c6f23aafa352f40daaabfc21a7f5
rb-bc6f03369769dcbe9cf84ae2,16,17,6553,all-unobserved,0.10,2c1c4d22d5df62140c429b2f9d1869e6fd46920c1d122dfe8efd4f2fd2151013
rb-bdfa79ef58fc487e96f0cc61,16,17,6553,all-unobserved,0.10,ee5c6504216e8c8450d9435b343cd58d09230ffc3253d894b48fd39b29cd0ad8
rb-c181f83ea49a53a5b8b1c557,16,17,6553,all-unobserved,0.10,e91d7abf13d0d2932d9ab1e0da9ae3e2c6bc6877b759c0014770b1b93e36d372
rb-c3d4a67e9970717cacc5e220,20,21,31457,all-unobserved,0.03,924995b03f5b89d753c08a7c519e66552625474ac58f7c52d539ee496386258b
rb-c62791a56ffb5ad37f814481,20,21,104857,all-unobserved,0.10,cedfba03b2fa06cc9f3bcfcad4d06ea71ad128ffa4455b845f4986edb64fb1b0
rb-c8cad33a39d9208f1e3c6d46,16,17,1966,all-unobserved,0.03,1a17786d41bf349e1a2e1601b561b9276b75feda35fda6cbe7a9c339572a3174
rb-ca09e6aa54e8138a3fad9150,12,13,122,all-unobserved,0.03,49f61ef27867151014bbe28894b51a8bbffd9b84550d3b31a01b70a876f07780
rb-cae13d1a65a3d7f27ae8a2e7,16,17,6553,all-unobserved,0.10,2af1881fc505dbbf20adab3e492363a1353d2e501f05c9f31b731b2668592356
rb-cb4e285feb19cd3a29caa0bb,20,21,31457,all-unobserved,0.03,b0bfabd0e712863289cdc9d1557441dc8332d8f128a443f8ff541f6f6b9badce
rb-ce2561fc9d626b5533f00d4b,16,17,6553,all-unobserved,0.10,e31161d0de2be286641f83bd7239f4cf85e74425acba53d152037caf81667064
rb-cf25a5b1d5a8efafdd51bf7a,16,17,6553,all-unobserved,0.10,34249f6a762f403a5faf1362736afd3e43b571fbec0bbdc8f211e70c32306cf5
rb-d11f3d57feee2dfbe5970d16,20,21,104857,all-unobserved,0.10,14c91c19a8ec5c0dae132e763d7c824457892115e5f4d2be04fd1ec7f897fecc
rb-d3a3fd239d073e221b859112,16,17,1966,all-unobserved,0.03,79767ce53db23b8c9ff61f32a0d0a6440dee5daea66cd04970ae5b79cf29cc3c
rb-d44fdb6f8ced96973e63d5c9,16,17,1966,all-unobserved,0.03,0e56cbb5ccb1a982e7118f086efa1787169441771dc262227269d9f385c43b8c
rb-d4de8ed72667045da16e77c3,16,17,6553,all-unobserved,0.10,5dac61982e3cc6fc4d0783b97f0e42c0a278a66c9c189649a6403ffda412b6f1
rb-d51745e1672aab89b27c4254,16,17,6553,all-unobserved,0.10,ef699cdba9bd0550ec6691768ed220fd58398cba68d42e3cb380924f5daeb76b
rb-d5f24d6cc8053f86fa9897f0,16,17,6553,all-unobserved,0.10,ba4d9a86db93ba3ea694644b7a812d06b4feee77d95efbb5fb7d735949310d0b
rb-d8a69dcafa42777542dcdc1b,12,13,409,all-unobserved,0.10,71add5ed1b661a6ace4e433def145b145c33478804d3bb52ad06a825babeb47c
rb-d93381df1cb13c6f89afd46a,20,21,104857,all-unobserved,0.10,6780fab0790900af1488fb480bac861b9e864a520d85136014b56814acddd120
rb-d9784ddeba6397cbfb8787d0,20,21,104857,all-unobserved,0.10,949ad9863fa502d35dfa8602e973b5cd15741a4b9e5fd2a328808872e7381cf7
rb-da7374cb0fef58164fa655aa,12,13,409,all-unobserved,0.10,1d62d23c1228f307143bd7ff891000a15a19bacd5beb66f70c4b6e9675100c39
rb-dd9a932a31514f3ab3757fd1,16,17,6553,all-unobserved,0.10,5a43db1d07b6c69f2b09c9b14e90c6f2c8f70f410947457944df29e5a93b2fcd
rb-ddb55b9fe17affa749f56c09,16,17,6553,all-unobserved,0.10,959e83b55ac44b5576bfe11f542dfe322ed1bd44a8c49ff81e64150a887172d8
rb-de5e721f60d53acf293decc4,12,13,122,all-unobserved,0.03,d3ff3d00f57ff1846c981a9d59bec8b8e251d6c2936387f9a600b2fb09390258
rb-dee3433466a3a139da006801,20,21,104857,all-unobserved,0.10,37afc029297695d1c88769c450c331cc491908610832449ee069ec933e18070c
rb-df511c77d2186aaf6e9b3444,12,13,409,all-unobserved,0.10,2df7428288e94812065196df5df4aff91d1d6851022ceb7c00472b4f53cc8c1e
rb-dfe6f739b9f05b2db0e432d0,12,13,409,all-unobserved,0.10,68e1e77863829934bdf5bdaa141b87648e948cb65cd749cda8b56b8480f8bdf7
rb-dff2ed271f2b0f28a1485645,20,21,104857,all-unobserved,0.10,1d36e3890d66ca2d62cf84c3c58eedfbf3e3b5e4f6c5936471378a833b8dd329
rb-e5a36a28ad8bc492ca3bb36b,12,13,409,all-unobserved,0.10,9cfa5a872bb68330b855729579afaf84b65d30a7abaadd06733ffb719359cdb4
rb-e70a5006cb53f89948ccfb48,12,13,409,all-unobserved,0.10,e0d7831ddd399322a7776e474869bb33550a011cf9cdfca05cb11508df03518b
rb-ea0e8e07f4837fb7e92a0d7c,16,17,1966,all-unobserved,0.03,84ea2830fa4d2a512f2a2066a4d5c7017caed15a09374c3eaa639b94513ca16f
rb-eaad9920b59bdac7127249d2,12,13,409,all-unobserved,0.10,e797f045c0fe29808a9dbbc2cc6ad916f9a552031c1ce9d0353dbcf580537685
rb-eb6e814a34b99edfa0a39ab5,12,13,409,all-unobserved,0.10,6e7fdf48c567a70e563eb105727586a62e613e47adeceb550ef051f5f545d16c
rb-ebb37e26365db169d5f39bd9,12,13,409,all-unobserved,0.10,4b847851447fe53fea40a8ebd93194519b7bf43bf38ebd02bbaccd15b00349b6
rb-ebf43d4b89a771015286685c,12,13,122,all-unobserved,0.03,e5e11d3f3245dd412dc891d1b4f6925998d57abd8eae9a92489e70596f288940
rb-ecff5200c3b531f997f12713,20,21,31457,all-unobserved,0.03,4a963996d3238837b32fcd4e28fbdca00d87c992164ed359d8be32a072ed3409
rb-edf0892ea4bdff611a39379b,12,13,409,all-unobserved,0.10,ae4062a34e78ff45cacaa87d6bc220d609bee65bb6c3b66d70c75d18f96bdd13
rb-ee420544ff18367bb2330f12,16,17,1966,all-unobserved,0.03,ce52ebabaa53f44c26751e26d77c937ca245cf6f9d7a6b6fcdea370cf102793d
rb-f0973fc57413120dd35c3cf3,20,21,104857,all-unobserved,0.10,cb4cc5213e8dc62655aab83f282c40e3b079ac821f1e7219620321df62708b23
rb-f3170afa9e9a6a58a21fc775,20,21,104857,all-unobserved,0.10,1c57a68d1d5c0f5701f528e0f19c3a442692e5bdfa32c0c9f003ca7c78b0a871
rb-f35e309e72323de1d52b26d3,16,17,1966,all-unobserved,0.03,5f6855ccfd15c8fcd1ca5ce73bf9a8ba896f5ab3434d93cc5fe3168a7761f570
